,BODY SENSATION,EYES - DRY LEAF,EYES - LIQUOR,EYES - WET LEAF,GongFu Additional Seconds,GongFu First Infusion Seconds,GongFu No Infusions,GongFu g per 100ml,Link,MOUTH - FINISH,MOUTH - TASTE,MOUTH - TEXTURE,NOSE - DRY LEAF,NOSE - EMPTY CUP,NOSE - WET LEAF,Name,Number of Reviews,Price per Gram,Score,Type,Water Temperature,Western Additional Seconds,Western First Infusion Seconds,Western No Infusions,Western g per 100ml
10,Comfortable yet fresh and easy-going.,Brazil nut brown broken leaves.,Dark apricot and rose gold liquor.,Dark khaki rolled and broken leaves.,5.0,25.0,7.0,5.0,https://meileaf.com/p/tea-ynac/,Transforms to a fresh quench and lively palm sugar sweetness.,"Milk tea, brown sugar, roasted barley, preserved plums, dried apricots and dates.",Medium light.,"Dark tuile biscuits, dried apples, sweet soy rice crackers, salted plums.",Dark strawberry jam and creme caramel.,"Raisins, umeboshi, eucalyptus, resin and teh tarik.",Koji Plum,5.0,0.22,98.0,Ripened,99.0,30.0,120.0,2.0,0.0
11,"Warm, cozy and happy with a cheeky energy.",Blend of furry buds and mustard green to plum brown leaves.,Deep peach gold.,Mix of pear buds and auburn leaves.,5.0,20.0,15.0,4.0,https://meileaf.com/p/tea-jsnc/,"Light quench to flooding, buzzy juiciness with medjool date sweetness.","Cherry sweets, overipe-banana, custard, rocks, sherbet, tuberose, fresia, leather, strawberry and pear eau-de-vie.",Thick and physical.,"Apricot and orange juice, cherry boiled candy, rosehip, brazil nuts, lotus and watermelon.","Overipe banana, cooked pears and cherry woods.","Strawberry leather, quince, new leather, white peach, kumquat, lotus, raw hazelnuts.",Jade Star VII,46.0,0.39,93.0,White,99.0,30.0,120.0,5.0,0.0
12,"Relaxed, creative inspiration.",Tight rolled burnt raisin brown balls.,Golden amber.,Auburn and dark moss green large leaves.,5.0,25.0,9.0,6.0,https://meileaf.com/p/tea-agac/,Soft and long.,"Summer rain on city streets, chestnut honey, wine gums and apricots.",Medium and refreshing.,Slightly fermented raisins and dried prunes.,Apricot kombucha.,"Apricot jam, wet wood and scotch sweetness.",Amber Gaba Oolong,1150.0,0.2,94.0,Oolong,99.0,30.0,120.0,3.0,1.0
13,Woozy drunken energy.,Sage green and deep plum leaves with some furry buds.,Deep gold.,Aged lime green and bronze leaves.,5.0,20.0,15.0,4.0,https://meileaf.com/p/tea-sdrc/,"Mineral rich quench to ambrosial, juicy sweetness.","Jammy dodgers and malted soya milk, sweet tarragon and custard apples.",Medium thick with a selzer fizziness.,"Butter frangipane, cookie dough, plum wine and lotus flower.",Jam sponge pudding.,"Cherry jam, grenadine, marzipan and butter biscuits.",Simple Dreams,80.0,0.22,91.0,White,99.0,30.0,120.0,5.0,0.0
14,Easy going energy and chatty.,"Gold and chocolate brown, fine picked and twisted buds.",Deep copper orange brown liquor.,Shiny chestnut buds and baby leaves.,5.0,20.0,8.0,4.0,https://meileaf.com/p/tea-cmqc/,Soft with a sweet cherry juiciness.,"Cocoa cookies, rose, cherries and warm malted milk.",Soft and medium.,"Malted milk, chocolate and rosehip.",Guinness and malt ice cream.,Burnt cherry brownies and malted cream.,Cocoa Malt Queen,80.0,0.31,92.0,Black,95.0,60.0,120.0,2.0,0.0
15,"Bright, alert and very cheeky.","Large furry, khaki brown leaves.",Peach gold liquor.,"Full, fat, artichoke green leaves.",5.0,25.0,12.0,5.0,https://meileaf.com/p/tea-yguc/,"Bright and zingy grip with a sweet, nectar juiciness.","Toffee, banana pudding, starfruit, pine nuts and saffron custard.","Thick, soft and very creamy.","Almond brittle, saffron, fresh trainers, melon taffy candy.","Sago, saffron and rock sugar.","Banana bread, carob, pine resin and coconut jelly.",Young Gushu 2022,67.0,0.33,89.0,Raw Puerh,95.0,30.0,120.0,3.0,1.0
16,Centred but trippy and cheeky drunken happiness.,"Fine picking of silver buds, plum, khaki and mustard green leaves.",Deep pineapple gold.,Light and bright pastel green young leaves.,5.0,25.0,12.0,5.0,https://meileaf.com/p/tea-lmic/,Zingy mineral juiciness with custard apple sweetness.,"Custard apples, poached pears, cinnamon and cardamom bun, aloe, slate and banana.",Thick.,"Toffee apples, dried cranberries, blackcurrant chews, pine resin and elderflower.",Nougat and cooked bananas.,"Pear and apple compote, egg custard with nutmeg, vanilla cream, fresia, face cream and canned pineapple.",Luminary Misfit,60.0,0.36,88.0,Raw Puerh,95.0,30.0,120.0,3.0,0.0
17,"Cooling and chilled with a light, enduring energy.",Blend of tarnished gold buds and raisin brown leaves.,Deep burnished brown with a sunset orange rim.,Deep wenge brown young leaves.,5.0,20.0,15.0,5.0,https://meileaf.com/p/tea-kbcc/,Cola sweet juiciness.,"Cherry cola, vanilla custard, blackcurrant pastilles, rum, cedar and slate.",Thick.,"Proving dough, butterscotch and black cherry jam.",Treacle soda bread.,"Rum raisin ice cream, fluffy milk bread and wet pavements.",Kick Back Champ,37.0,0.19,90.0,Ripened,99.0,30.0,120.0,5.0,0.0
18,Potent warming and tingling high with a deep digestif soothing nature.,Rich and textured  caramel brown leaves.,Deep glowing mahogany brown with rosewood rim.,Chocolate brown leaves.,5.0,20.0,18.0,5.0,https://meileaf.com/p/tea-gmrc/,"Uber-smooth and rounded with a fresh and cooling, sweet anise juiciness.","Dark toffee, chocolate covered prunes, fennel seeds, suede and light chocolate milk.","Oily, thick and incredibly smooth.","Brownies, black liquorice, gingerbread, rising dough, UHT milk and instant cappuccino.",Embers and butterscotch.,"Vanilla whipped cream, bourbon caramel, hay, shou wu, chocolate raisins and fresh pears.",Grand Master Ripe,20.0,0.87,95.0,Ripened,99.0,30.0,120.0,5.0,0.0
19,"Energising, mind stimulating and mood enhancing.","Deep, lime green micronised powder.",Dark and rich basil green liquor.,n/a,0.0,0.0,0.0,0.0,https://meileaf.com/p/tea-orgc/,Cream finish with a sugared juiciness.,"Oat milk, hazelnuts, edamame and white chocolate.","Soft, silky and creamy.",Chocolate malted soy milk and hazelnuts.,Frangelico and cream.,"Salted porridge, parma violets and pancake syrup.",Ceremonial Matcha Tea,280.0,0.54,91.0,Green,0.0,0.0,0.0,0.0,0.0
20,"Bright, warming relaxation.","Granola and raisin brown, small, rolled balls.",Peach golden liquor.,"Dark khaki, tender, medium leaves.",5.0,25.0,8.0,5.0,https://meileaf.com/p/tea-hcbc/,Fruity and fresh with orchid sweetness.,"Muscatel, cedar, orchid and honeyed apricots.",Medium.,"Tarte tatin, milk and honey.",Evaporated milk and icing sugar.,"Cooked lychee in syrup, pine resin and forest honey.",Honey Duchess,274.0,0.18,93.0,Oolong,95.0,30.0,120.0,3.0,0.0
21,"Settled with a bright, chatty energy.",Deep purple brown small leaves and dark orange buds.,Pink and purple tinged brown liquor.,Deep mahogany leaves.,5.0,15.0,12.0,5.0,https://meileaf.com/p/tea-brkc/,Lightly dry to juicy with blackcurrants and orange.,"Grenadine, blackcurrant taffy, amber, marzipan thyme and blood orange.",Medium.,"Blackberry, cherries and malted milk biscuits.",Rye bread and blood orange zestiness.,Berry compote and vanilla pudding.,Bling Rock Kingpin,260.0,0.19,94.0,Ripened,99.0,30.0,120.0,5.0,0.0
22,"Warm, fuzzy and digestive with a light meditative high.","Blend of silver buds, auburn and bay green leaves.",Deep burnished brown with a sunset orange rim.,Textured and mottled blend of camo-green leaves.,5.0,25.0,12.0,3.0,https://meileaf.com/p/tea-fmac/,Fresh bay and whipped cream sweetness.,"Vanilla ice cream, bay leaves, white rabbit candy and acacia syrup.",Thick.,"Saffron custard, strawberry jam, clotted cream, scones, butterscotch, rising bread, apricots and overripe cherries.",Steamed buns with lotus paste.,"Frangipane, cherry liqueur, maraschino, pomegranate, cooked watermelon, lightly roasted marshmallow and cassia.",Feather Maiden,53.0,0.26,88.0,White,95.0,60.0,120.0,3.0,0.0
23,Incredible digestif effects and bright energy.,Vibrant carob brown nuggets of leaves.,Dusky deep orange.,"Glistening, deep chestnut brown leaves.",5.0,30.0,25.0,6.0,https://meileaf.com/p/tea-nugc/,"Dry to sweet and refreshing juiciness with a very cooling, clean sensation.","Cherry taffy, sandalwood and malt loaf.","Creamy, thick and very soft texture.",Rising dough and stewed cherries.,Semolina pudding with cherry jam and creme caramel.,New York blueberry cheesecake and apricot jam.,Nug Berry,139.0,0.34,91.0,Ripened,99.0,30.0,120.0,7.0,1.0
24,Livening and uplifting.,Small vanilla pod black and brown leaves.,Orange caramel.,"Very small, forest kelp brown leaves.",5.0,15.0,8.0,4.0,https://meileaf.com/p/tea-slqc/,"Long, dry leading to minty and juicy.","Dark cocoa, charred bourbon casks and rambutan.",Medium.,"Almond thins biscuits, burnt plum and licorice.",Dark gingerbread.,Cocoa and burnt apple skins.,Souchong Liquor,733.0,0.19,92.0,Black,90.0,60.0,120.0,3.0,0.0
25,Relaxing energy.,Olive black small twisted leaves.,Light Armagnac brown.,"Chestnut and khaki small, delicate leaves.",5.0,20.0,8.0,3.0,https://meileaf.com/p/tea-fbuc/,Buttery to sweet nashi pear juiciness.,"Fresh figs, brown butter, gardenia, violets, lilac and liniments.",Thick and oily.,"Malt, brown butter and pannacotta.",Croissant with butter and blackcurrant jam.,"Milk, rocks, icing sugar, greek yoghurt and figs.",Fig Butter Black,41.0,0.19,91.0,Black,95.0,30.0,120.0,2.0,0.0
26,Bright and calming.,"Khaki, golden and lime green rolled leaves.",Bright lime green.,Bottle green leaves.,5.0,25.0,8.0,5.0,https://meileaf.com/p/tea-hjgc/,Vibrant and juicy with a creamy sweetness.,"Magnolia, strawberry candy, bread with apricot jam.",Medium.,Strawberry jam and digestive biscuits.,Coconut suntan lotion and brown bread.,"Apricot yoghurt, raw seeds and honey on bread.",Golden Flower TGY,87.0,0.2,90.0,Oolong,95.0,30.0,120.0,3.0,1.0
27,Warm and fuzzy.,Burnished dark brown and auburn leaves.,Rich maple syrup brown liquor.,Deep bronze and khaki leaves.,5.0,30.0,10.0,5.0,https://meileaf.com/p/tea-stmc/,"Mineral catch in throat and rich vapour. Peach candy, cannabis and butter.","Magnoila, buttercream icing, frankincense, guava, peach, pine and cranberry.",Soft and milky with a bright minerality.,"Butterscotch, dark bark biscuits, magnolia, dried cherries and raspberry jam.",Cream taffy candy. Peach soft serve ice cream,"Nectarine, almond brittle, charred woods and orchids.",Stone Milk,31.0,0.45,91.0,Oolong,99.0,30.0,120.0,3.0,1.0
28,Calming and non-jittery with mood enhancement and mental inspiration.,Straight buds and young leaves.,Pale lemon yellow.,"Pale, apple green buds and leaves.",5.0,30.0,5.0,3.0,https://meileaf.com/p/tea-ajgc/,"Juicy, sweet and very tingly.","Nashi pear, slate, starfruit and pumpkin seeds.",Medium body with slight brothiness.,Steamed edamame and black cherry.,Winter air and sugar syrup.,Green chestnuts and cooked plum tomatoes.,Jade Arrow - Pre Qing Ming,682.0,0.33,91.0,Green,85.0,60.0,180.0,2.0,0.0
29,Refreshing and bright.,Prune black leaves with cherry brown larger leaves.,Resin orange.,Glossy cherry brown medium leaves.,5.0,25.0,7.0,4.0,https://meileaf.com/p/tea-wwbc/,Custard apple and mangosteen sweet juiciness.,"Peach candy, palmier, guava jam and wood lacquer.",Soft and oily.,"Black cherry yoghurt, pain au raisin.","Lilac, raspberry vinegar and cream.","Wine gums and grape juice, wood resin and lilac flowers.",Candy Tree Black,115.0,0.23,93.0,Black,99.0,60.0,120.0,2.0,0.0
30,Bright stimulation.,"Broken mix of fine, young buds and leaves with a few medium leaves.",Deep sunset brown.,Chestnut and khaki buds and leaves.,5.0,25.0,8.0,3.0,https://meileaf.com/p/tea-cmlc/,Quenching to a cooling lemon and cinnamon juiciness.,"Mangosteen, muscatel, saffron, mango, fresh turmeric, resin, orange peel, kumquat and fresh green peppercorns.",Medium.,"Chocolate profiteroles, brigadeiro, saffron and preserved cherries.",Custard and dark ginger bread.,"Alphonso mango, fresh turmeric, geranium, Muscat grapes, 7up lemonade, loquat, saffron cakes soaked in syrup.",Castleton Muscatel - Special Reserve Lot,33.0,0.36,87.0,Black,90.0,100.0,300.0,2.0,1.0
31,Digestif and cleansing with a bright alertness.,Cacao brown leaves and oily aged tangerine.,Burnished orange mahogany.,Mahogany leaves and caramel orange peels.,5.0,20.0,15.0,5.0,https://meileaf.com/p/tea-fyuc/,"Soft, zesty and juicy with light floral sweetness.","White chocolate, hawthorn, apple cellars, chamomile flowers, mandarin and cocoa.",Medium and oily.,"Candied orange, salted fudge and attics.","Hot cakes, syrup, charred casks and chamomile.","Butterscotch, inside bread, caramel and mandarins.",Find Your Sunshine 2,63.0,0.19,88.0,Blend,99.0,30.0,120.0,5.0,0.0
32,"Strong drunken, fizzy and fun sensations.","Antique silver buds, dark auburn and gun metal grey leaves.",Straw gold liquor.,"Vibrant frog green, supple leaves.",5.0,25.0,12.0,5.0,https://meileaf.com/p/tea-draa/,Dry to tingling pear drop and lily sweet juiciness,"London Gin, bison grass, strawberry sherbet and glutinous rice.",Medium thick.,"Stewed strawberries, lillies and clotted cream.",Pears and steamed sponge pudding.,"Vodka macerated strawberries, juniperberry, deep forest streams.",Dram Alchemist,53.0,0.31,91.0,Raw Puerh,95.0,30.0,120.0,3.0,0.0
33,Relaxing and easy drinking.,"Dark chestnut, twisted leaves and auburn larger leaves.",Burnt orange liquor.,"Full and thick, burnt umber and burgundy leaves.",5.0,25.0,6.0,4.0,https://meileaf.com/p/tea-gflc/,"Tingly, cooling and juicy with intense peach candy finish.","Saffron, cedar, muscat grapes, cinnamon, wintergreen and roasted peaches.",Medium thick and soft.,"Saffron, gooseberries and green grape juice.",Caramelised rhubarb.,"Black cherry jam, eucalyptus wood and port wine.",Forest Jam,145.0,0.33,90.0,Black,95.0,30.0,120.0,2.0,0.0
34,"Glowing warmth, loose and relaxing.",Deep brown and bronze leaves.,Dark maple syrup liquor.,"Rich, dark wenge brown leaves.",5.0,20.0,12.0,5.0,https://meileaf.com/p/tea-ncrc/,Vaporous and sweet syrupy juiciness with cooling finish.,Salted peanut butter on hot cakes with brown sugar and antique woods.,Clean and smooth.,"Peanut butter, brown sugar and and attics.","Brown sugar, grilled banana, caramel and laquered woods.","Stroopwaffles, apple skin, brazil nuts.",Nut Charmer,110.0,0.21,88.0,Ripened,99.0,30.0,120.0,5.0,0.0
35,Excitable and slightly dizzying.,"Curled, deep pine green leaves.",Luminous pear green liquor.,"Rich kelp green, delicate buds and leaves.",5.0,20.0,6.0,3.0,https://meileaf.com/p/tea-lsgc/,Fast moving from coating to quench with persimmon sweetness.,"Toasted rice, malted milk, steamed Jerusalem artichokes and persimmon.",Thick and brothy to fresh.,Mashed broad beans and sugar syrup.,Vanilla caramel.,Mixed bean soup and candy floss.,Laoshan Green,118.0,0.2,92.0,Green,85.0,30.0,120.0,2.0,0.0
36,Strong and long lasting rising and lifting sensation as if carried along by air with a mind focus and clarity.,Mix of small to medium silver buds and plum brown leaves.,Apricot gold.,Avocado green mixed size leaves.,5.0,25.0,12.0,5.0,https://meileaf.com/p/tea-hsuc/,"Touch of dry bitters with refreshing and endless juicy, apricot sweetness.","Fresh apricots, tonic water, persimmon, sherbet and wet rocks.","Medium. Bright, opening and plumpening.","Green melon, raisins, brown sugar, strawberry jam and summer skin.","Toffee, persimmon and lily of the valley.","Frozen orange juice, cooked apples, gardenia, lemon and honey, pine forest after rainfall.",Heaven Surveyor,37.0,0.57,90.0,Raw Puerh,95.0,30.0,120.0,5.0,0.0
37,Awakening and mood lifting brightness.,Blue green algae and lime green rolled leaves.,Apple candy green.,Lush pine green medium leaves.,5.0,25.0,9.0,6.0,https://meileaf.com/p/tea-sgoc/,Soft creamy sweetness with a mangosteen fruitiness.,"Green apples, sponge pudding and coconut milk.",Medium thickness.,"Melted butter, coconut yogurt and orchids.",Strawberry taffy and coconut cream.,"Lilac, lily and apricot jam with salted butter and sorrel.",Superior Iron Goddess,614.0,0.31,88.0,Oolong,99.0,30.0,120.0,3.0,1.0
38,Gently relaxing.,Small twisted raisin black leaves.,Dark caramel orange.,Beaver brown small to medium leaves.,5.0,10.0,8.0,4.0,https://meileaf.com/p/tea-tonc/,"Sugar sweet, floral and soft finish.","Muscatel grapes, lychees, rose, lilac and fresh cut, wet oak.",Medium soft with a slight grippiness.,Raspberries and raw hazelnuts.,Sour plums and ginger biscuits.,"Raspberry yoghurt, granola, rose water and rhubarb.",Little Tong Mu,569.0,0.2,92.0,Black,90.0,30.0,120.0,3.0,0.0
39,Deep set and meditative vibes.,Large twisted golden buds and brown furry leaves.,Bright chestnut brown.,Rich chocolate brown buds and young leaves,5.0,25.0,8.0,4.0,https://meileaf.com/p/tea-hncc/,"Dry quench to cooling, glucose tablet sweet juiciness.","Dark chocolate, honeycomb, oat biscuits, carrot, apple skins and lime flower.",Smooth and medium thick.,"Chocolate covered fruitcake, dried cranberries, blackcurrant jam and roasted pecans.",Malted chocolate milk.,"Wood varnish, caramel, dark chocolate digestive biscuits and dried tamarind.",Honeycomb Black,28.0,0.28,90.0,Black,95.0,60.0,120.0,2.0,0.0
40,Epic digestif with mind awakening drunkenness.,"Gold buds, black cherry and chestnut leaves.",Deep cherry red.,Cherrywood brown leaves.,5.0,25.0,15.0,7.0,https://meileaf.com/p/tea-prvc/,Epic herbal sweet juiciness and minty coolness.,"Intense, sweet, herbal liqueur (liquorice, fennel seeds, peppermint, angelica, hops), custard and preserved plums.","Medium thick, soft to refreshing.","Muscovado sugar, dark rum, maple syrup and rich tea biscuits.","Dry wood, deep plum syrup with a hint of truffle.","Hot vanilla custard, pecan pie, dark rum, unicum, dry wood attic.",Playground Rendez-Vous,172.0,0.29,91.0,Ripened,99.0,30.0,120.0,5.0,1.0
41,Lightly uplifting.,Small and tightly rolled balls with prominent white streaks.,Bright and pale golden green.,"Delicate, pale beige green buds and young leaves on slender stems.",5.0,25.0,5.0,6.0,https://meileaf.com/p/tea-peac/,Smooth with a gentle dryness leading to a lightly juiciness.,"Jasmine, orchid and dry stone leading to summery warm meadows.","Medium body, lubricating and smooth.",Sweet jasmine and ripe strawberries.,Slightly oxidised pear and jasmine.,Ultra sweet jasmine flowers and black liquorice.,Dragon Pearl Jasmine,360.0,0.13,88.0,Green,80.0,60.0,180.0,2.0,1.0
42,,,,,0.0,0.0,0.0,0.0,https://meileaf.com/p/gft-puthc/,,,,,,,PuErh Tea Headliners,0.0,100.0,0.0,Raw Puerh,0.0,0.0,0.0,0.0,0.0
43,"High, buzzy and bright with a lightly, happy, drunken sensation.",Deep dark grey-green medium leaves.,"Clear, bright, golden green liquor with lots of texture.","Soft and supple, pear green buds and leaves.",5.0,25.0,8.0,5.0,https://meileaf.com/p/tea-bykc/,"Buzzing and chewy mouth feel with fruity grip and sweet, juicy, vaporous finish.","Sweet mango, saffron, caraway and fresh turmeric spice with fresh cucumber and melon.",Medium and brisk.,"Magnolia, shortbread and buttered new potatoes.",Orange creamsicles.,"Sponge cake, sweet mango , fresh turmeric, gripe water, steamed zucchini and vegetable broth.",Buyi Kiss,50.0,0.47,89.0,Green,95.0,30.0,120.0,2.0,0.0
44,Uplifting mood and promoting a sense of calm satisfaction.,Silver beige buds.,"Very pale, beige green liquor.",Mix of tarnished brass and light khaki buds. Plump with multiple layers.,10.0,45.0,5.0,4.0,https://meileaf.com/p/tea-sinc/,Soft creamy meadow floral sweetness.,Orange blossom and semolina pudding sweetness to grapefruit zestiness.,"Thick, oily and lubricating.","Jasmine, apple cider, toffee and rolling tobacco.",Light cocoa fudge.,"Jasmine cream, sweet musk and dark treacle.",Silver Needle,642.0,0.21,88.0,White,90.0,30.0,180.0,3.0,0.0
45,"Warming, refreshing, clear and bright.",Ball of grey green and antique silver buds and leaves.,Rose gold.,"Bronze, chestnut and light khaki leaves.",5.0,30.0,12.0,5.0,https://meileaf.com/p/tea-juic/,Dry to tingly juiciness with black cherry sweetness.,"Palm sugar, blackcurrant jam, sherbet, fudge and sweet minerals.",Thick and Oily.,"Strawberry jam, dark vanilla and treacle.",Palm sugar and dried persimmon.,"Eucalyptus bark, toffee mints, cherry cough sweets, strawberry and patchouli.",Juice Journo,98.0,0.24,88.0,Raw Puerh,99.0,30.0,120.0,3.0,1.0
46,Settled and easy.,Matt black inner leaves with velvety green outer surface and thick silver buds.,Dessert wine.,Laurel and khaki green leaves and chantarelle brown buds,5.0,30.0,8.0,4.0,https://meileaf.com/p/tea-mlwc/,Dry on the top of the tongue with sweet nectar juiciness on front and sides.,"Mango vanilla pudding, hay and lily of the valley.",Syrupy and smooth.,"Sweet mango custard, honey and dried nettles.",Creme caramel and honeysuckle.,Lily of the valley and dragon fruit.,Moonlight White,307.0,0.22,89.0,White,90.0,30.0,120.0,3.0,0.0
47,Cleansing and happy with a definite digestif quality.,Tuo shaped dark auburn leaves.,Mahogany brown liquor.,Rich mahogany broken mulched leaves.,5.0,10.0,20.0,5.0,https://meileaf.com/p/tea-yubc/,"Clean, quenching yet creamy with a dried loquat sweetness.","Vanilla fudge, incense, antique wood and angelica.",Medium and silky.,"Dried loquat, black treacle and smoked toffee.",Dried loquat syrup.,Butter toffee and charred woods.,Black Yunnan Tuo 96,599.0,0.11,86.0,Ripened,99.0,30.0,120.0,7.0,0.0
48,Content and satisfying.,Rich ultra-dark chocolate black broken leaves.,Maple syrup.,Kelp khaki leaves with a few auburn stems.,5.0,25.0,5.0,5.0,https://meileaf.com/p/tea-asac/,Slightly dry to sweet and minty.,"Blackcurrant, lemon tart, sugar syrup, poppy seeds and root beer.",Medium.,Steamed brown sugar sponge and lotus leaves.,Short crust pastry and green apple skins.,"Coriander, rhubarb, green apples, parsley and evaporated milk.",Asamiya Black,164.0,0.16,84.0,Black,95.0,30.0,120.0,2.0,0.0
49,"Fun, awakening and warming energy.","Khaki green, prune and tan medium to large leaves.",Peach gold.,Crocodile green leaves.,5.0,20.0,10.0,5.0,https://meileaf.com/p/tea-mpsc/,Lightly dry to very cooling passion fruit and mint juiciness and sugar sweetness.,"Caramel, dried mint, cannabis and orange sherbet.","Medium, soft and syrupy.","Dark caramel, persimmon, blood orange, wine gums and frangipani.",Cooked mango drizzled with honey.,"Toasted marshmallow, orange curd and honey.",Mom & Pop Shop,119.0,0.16,89.0,Raw Puerh,99.0,30.0,120.0,3.0,0.0
